証券コード,企業名,上場日,上場年,時価総額(百万円),経過年数,残り年数,必要CAGR(%),EDINETコード,売上高,売上原価,売上総利益,研究開発費,販売費及び一般管理費,営業利益,営業CF
4270,ＢｅｅＸ,2022/02/24,2022,5780,3.27,1.73,37.39,E36937,9255.65,7538.58,1717.07,,1060.41,656.65,532.05
4447,ピー・ビーシステムズ,2022/10/06,2022,3325,2.66,2.34,60.13,E33384,3107.97,2217.45,890.52,,528.33,362.20,58.42
4891,ティムス,2022/11/22,2022,7452,2.53,2.47,12.66,E37069,0,,,621.10,286.69,-907.79,-493.76
4892,サイフューズ,2022/12/01,2022,7898,2.51,2.49,9.93,E38156,54.45,37.60,16.85,,912.98,-896.13,-760.55
4893,ノイルイミューン・バイオ,2023/06/28,2023,7275,1.94,3.06,10.94,E38453,7.59,0.20,7.39,579.88,496.70,-887.81,-887.81
5029,サークレイス,2022/04/12,2022,7212,3.15,1.85,19.28,E37603,2900.80,1450.01,1450.79,,1536.11,-85.32,10535
5031,モイ,2022/04/27,2022,3394,3.1,1.9,76.85,E37333,6592.96,3230.73,3362.24,,3129.67,232.57,765.61
5033,ヌーラボ,2022/06/28,2022,5985,2.93,2.07,28.22,E37435,3662.84,1025.11,2637.74,,2305.61,332.12,811.90
5035,ＨＯＵＳＥＩ,2022/07/28,2022,3583,2.85,2.15,61.29,E37790,4918.70,3389.71,1528.99,,1450.34,78.66,361.14
5126,ポーターズ,2022/09/29,2022,3177,2.68,2.32,63.94,E37926,1923.00,446.00,1477.00,,1085.00,391.00,-88.00
5129,ＦＩＸＥＲ,2022/10/06,2022,7513,2.66,2.34,13.01,E37959,6468.00,4365.00,2102.00,,1841.00,260.00,-626.00
5134,ＰＯＰＥＲ,2022/11/15,2022,4136,2.55,2.45,43.42,E38036,1071.09,273.49,797.59,,724.35,73.24,61.01
5138,Ｒｅｂａｓｅ,2022/12/16,2022,6824,2.47,2.53,16.28,E38171,1490.08,57.81,1432.27,,1097.16,335.12,374.77
5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏ,2022/12/20,2022,4144,2.46,2.54,41.38,E38157,1429.20,967.93,461.27,,743.10,-281.83,-478.91
5255,モンスターラボ,2023/03/28,2023,3988,2.19,2.81,38.66,E38477,10003.29,8578.19,1425.10,,7220.03,-10269.87,-3086.85
5259,ＢＢＤイニシアティブ,2023/04/03,2023,7259,2.17,2.83,11.99,E38288,4127.63,2424.62,1703.01,,1398.91,285.50,555.02
5527,ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏ,2022/12/13,2022,4636,2.48,2.52,35.59,E38129,4162.76,34972.17,6640.59,,5278.39,1362.20,-2953.35
5575,Ｇｌｏｂｅｅ,2023/06/14,2023,4257,1.97,3.03,32.61,E38662,1288.76,690.35,598.41,,278.43,319.98,387.45
5578,ＡＲアドバンストテクノロジ,2023/06/23,2023,6835,1.95,3.05,13.29,E38654,11129.82,8291.95,2837.87,,2416.20,421.67,363.35
5587,インバウンドプラットフォーム,2023/08/30,2023,3074,1.76,3.24,43.97,E38864,2333.70,924.71,1408.99,,1229.04,179.95,199.92
5596,アウトルックコンサルティング,2023/12/12,2023,4468,1.48,3.52,25.71,E39126,1667.85,536.78,1131.07,,565.58,565.49,409.87
5597,ブルーイノベーション,2023/12/12,2023,5050,1.48,3.52,21.41,E39114,1223.24,712.61,510.63,,909.05,-398.42,-494.23
5599,Ｓ＆Ｊ,2023/12/15,2023,7512,1.47,3.53,8.44,E39122,1610.75,829.03,781.72,,432.75,348.97,66.55
5618,ナイル,2023/12/20,2023,3193,1.46,3.54,38.01,E39203,5465.14,3306.60,2158.54,,2836.51,-677.97,-1067.20
5619,マーソ,2023/12/21,2023,3531,1.45,3.55,34.12,E39171,1333.06,304.27,1028.79,,871.28,157.52,-77.63
5858,ＳＴＧ,2024/03/21,2024,3017,1.2,3.8,37.13,E36844,5242.833,4073.61,1169.23,,871.02,298.21,242.53
5867,エスネットワークス,2023/12/19,2023,3277,1.46,3.54,37.04,E38078,2950.80,1608.26,1342.54,,1040.45,302.10,374.70
5870,ナルネットコミュニケーションズ,2023/12/25,2023,3514,1.44,3.56,34.18,E39158,7672.48,5361.34,2311.15,,1784.35,526.79,827.32
5884,クラダシ,2023/06/30,2023,5047,1.93,3.07,24.95,E38682,2862.20,1531.64,1330.56,,1309.36,21.19,-34.06
7075,ＱＬＳ　ＨＬＤＧ,2024/12/11,2024,5355,0.48,4.52,14.81,E35344,8360.35,7016.15,1344.19,,934.23,409.97,505.69
7114,フーディソン,2022/12/16,2022,4136,2.47,2.53,41.7,E38167,6351.67,4059.40,2292.27,,2096.04,196.23,127.72
7793,イメージ・マジック,2022/03/03,2022,3096,3.26,1.74,95.82,E37419,7767.46,4807.19,2960.27,,2520.45,439.82,591.89
9159,Ｗ　ＴＯＫＹＯ,2023/06/29,2023,4407,1.93,3.07,30.62,E38687,3957.77,2441.03,1516.74,,1008.70,508.04,187.07
9218,メンタルヘルステクノロジーズ,2022/03/28,2022,7041,3.19,1.81,21.35,E37508,5134.78,3295.02,1839.75,,1730.01,109.75,270.52
9219,ギックス,2022/03/30,2022,5043,3.18,1.82,45.71,E37546,2117.72,1341.96,775.77,,641.94,133.83,-62.51
9223,ＡＳＮＯＶＡ,2023/12/25,2023,7451,1.44,3.56,8.62,E35797,3785.57,2648.75,1136.83,,787.21,349.62,1730.47
9227,マイクロ波化学,2022/06/24,2022,7815,2.95,2.05,12.75,E37740,1863.32,742.91,1120.41,,986.00,134.41,205.75
9237,笑美面,2023/10/26,2023,3708,1.61,3.39,33.96,E38969,1301.65,,,,1084.84,216.81,158.14
9238,バリュークリエーション,2023/11/22,2023,3154,1.53,3.47,39.49,E39089,3431.98,2332.87,1099.11,,977.49,121.62,230.76
9337,トリドリ,2022/12/19,2022,6624,2.46,2.54,17.59,E38162,4273.71,358.76,3914.95,,3460.37,454.58,97.57
9344,アクシスコンサルティング,2023/03/28,2023,3695,2.19,2.81,42.48,E38452,4665.93,1566.98,3098.95,,2265.19,833.76,446.85
9345,ビズメイツ,2023/03/30,2023,3695,2.18,2.82,42.38,E38450,3474.07,832.71,2641.36,,2262.48,378.88,430.92
9346,ココルポート,2023/03/31,2023,5510,2.18,2.82,23.53,E36393,5750.81,4072.72,1678.10,,974.05,704.04,562.62
9557,エアークローゼット,2022/07/29,2022,3807,2.85,2.15,56.71,E37796,4216.16,2217.63,1998.52,,2034.15,-35.63,802.95
9561,グラッドキューブ,2022/09/28,2022,7235,2.68,2.32,14.99,E37979,1559.02,338.14,1220.88,,1487.96,-267.07,-4.74
